"","sku","prod_cat","salesdate","price","min_price","max_price","cost","volume","pred_vol","profit","est_profit"
"1","File Folders SKU 47","File Folders",2023-04-01,27.89,18.99,29.99,159,9,8,92,64.12
"2","File Folders SKU 47","File Folders",2023-04-02,27.89,18.99,29.99,123,7,6,72,44.34
"3","File Folders SKU 47","File Folders",2023-04-03,27.89,18.99,29.99,353,20,18,205,149.02
"4","File Folders SKU 47","File Folders",2023-04-04,27.59,18.99,29.99,422,24,22,240,184.98
"5","File Folders SKU 47","File Folders",2023-04-05,27.89,18.99,29.99,229,13,11,134,77.79
"6","File Folders SKU 47","File Folders",2023-04-06,27.89,18.99,29.99,229,13,11,134,77.79
"7","File Folders SKU 47","File Folders",2023-04-07,27.49,18.99,29.99,193,11,10,109,81.9
"8","File Folders SKU 47","File Folders",2023-04-08,27.99,18.99,29.99,71,4,3,41,12.97
"9","File Folders SKU 47","File Folders",2023-04-09,27.99,18.99,29.99,54,3,2,30,1.98
"10","File Folders SKU 47","File Folders",2023-04-10,27.89,18.99,29.99,299,17,15,175,119.35
"11","File Folders SKU 47","File Folders",2023-04-11,27.89,18.99,29.99,265,15,13,153,97.57
"12","File Folders SKU 47","File Folders",2023-04-12,27.89,18.99,29.99,317,18,16,185,129.24
"13","File Folders SKU 47","File Folders",2023-04-13,27.99,18.99,29.99,212,12,10,124,67.9
"14","File Folders SKU 47","File Folders",2023-04-14,27.69,18.99,29.99,299,17,15,172,116.35
"15","File Folders SKU 47","File Folders",2023-04-15,27.89,18.99,29.99,177,10,9,102,74.01
"16","File Folders SKU 47","File Folders",2023-04-16,27.99,18.99,29.99,123,7,6,73,44.94
"17","File Folders SKU 47","File Folders",2023-04-17,27.89,18.99,29.99,265,15,13,153,97.57
"18","File Folders SKU 47","File Folders",2023-04-18,27.69,18.99,29.99,212,12,10,120,64.9
"19","File Folders SKU 47","File Folders",2023-04-19,27.79,18.99,29.99,283,16,14,162,106.06
"20","File Folders SKU 47","File Folders",2023-04-20,27.89,18.99,29.99,123,7,6,72,44.34
"21","File Folders SKU 47","File Folders",2023-04-21,27.99,18.99,29.99,105,6,5,63,34.95
"22","File Folders SKU 47","File Folders",2023-04-22,26.79,18.99,29.99,88,5,4,46,19.16
"23","File Folders SKU 47","File Folders",2023-04-23,27.89,18.99,29.99,123,7,6,72,44.34
"24","File Folders SKU 47","File Folders",2023-04-24,27.79,18.99,29.99,177,10,9,101,73.11
"25","File Folders SKU 47","File Folders",2023-04-25,27.99,18.99,29.99,265,15,13,155,98.87
"26","File Folders SKU 47","File Folders",2023-04-26,27.89,18.99,29.99,194,11,9,113,57.01
"27","File Folders SKU 47","File Folders",2023-04-27,27.99,18.99,29.99,230,13,11,134,77.89
"28","File Folders SKU 47","File Folders",2023-04-28,25.29,18.99,29.99,224,13,11,105,54.19
