"","sku","prod_cat","salesdate","price","pred_price","min_price","max_price","cost","volume","profit","est_profit","mape"
"1","File Folders SKU 47","File Folders",2023-04-01,27.89,20.8444600177354,18.99,29.99,159,9,92,28.6001401596185,0.00438935612298404
"2","File Folders SKU 47","File Folders",2023-04-02,27.89,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"3","File Folders SKU 47","File Folders",2023-04-03,27.89,23.2539900897092,18.99,29.99,353,20,205,112.079801794185,0.00288706534739211
"4","File Folders SKU 47","File Folders",2023-04-04,27.59,24.1301828431543,18.99,29.99,422,24,240,157.124388235703,0.00219945891094207
"5","File Folders SKU 47","File Folders",2023-04-05,27.89,21.7206527711804,18.99,29.99,229,13,134,53.3684860253455,0.00383266061292207
"6","File Folders SKU 47","File Folders",2023-04-06,27.89,21.7206527711804,18.99,29.99,229,13,134,53.3684860253455,0.00383266061292207
"7","File Folders SKU 47","File Folders",2023-04-07,27.49,21.2825563944579,18.99,29.99,193,11,109,41.108120339037,0.00396726930760025
"8","File Folders SKU 47","File Folders",2023-04-08,27.99,19.7492190759291,18.99,29.99,71,4,41,7.99687630371635,0.00512709704773709
"9","File Folders SKU 47","File Folders",2023-04-09,27.99,19.5301708875678,18.99,29.99,54,3,30,4.59051266270348,0.00539479561301412
"10","File Folders SKU 47","File Folders",2023-04-10,27.89,22.5968455246255,18.99,29.99,299,17,175,85.1463739186329,0.00327037765537278
"11","File Folders SKU 47","File Folders",2023-04-11,27.89,22.1587491479029,18.99,29.99,265,15,153,67.3812372185442,0.00356432966077415
"12","File Folders SKU 47","File Folders",2023-04-12,27.89,22.8158937129867,18.99,29.99,317,18,185,93.6860868337611,0.00314387719628986
"13","File Folders SKU 47","File Folders",2023-04-13,27.99,21.5016045828192,18.99,29.99,212,12,124,46.01925499383,0.00400558583347904
"14","File Folders SKU 47","File Folders",2023-04-14,27.69,22.5968455246255,18.99,29.99,299,17,172,85.1463739186329,0.00321632447346197
"15","File Folders SKU 47","File Folders",2023-04-15,27.89,21.0635082060966,18.99,29.99,177,10,102,33.6350820609664,0.00426907193324801
"16","File Folders SKU 47","File Folders",2023-04-16,27.99,20.4063636410129,18.99,29.99,123,7,73,19.84454548709,0.00463794210914492
"17","File Folders SKU 47","File Folders",2023-04-17,27.89,22.1587491479029,18.99,29.99,265,15,153,67.3812372185442,0.00356432966077415
"18","File Folders SKU 47","File Folders",2023-04-18,27.69,21.5016045828192,18.99,29.99,212,12,120,46.01925499383,0.0039267911362086
"19","File Folders SKU 47","File Folders",2023-04-19,27.79,22.3777973362642,18.99,29.99,283,16,162,75.0447573802273,0.00341885832428138
"20","File Folders SKU 47","File Folders",2023-04-20,27.89,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"21","File Folders SKU 47","File Folders",2023-04-21,27.99,20.1873154526516,18.99,29.99,105,6,63,16.1238927159096,0.00473926875786982
"22","File Folders SKU 47","File Folders",2023-04-22,26.79,19.9682672642903,18.99,29.99,88,5,46,11.8413363214517,0.0047298066572346
"23","File Folders SKU 47","File Folders",2023-04-23,27.89,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"24","File Folders SKU 47","File Folders",2023-04-24,27.79,21.0635082060966,18.99,29.99,177,10,101,33.6350820609664,0.00424827634098717
"25","File Folders SKU 47","File Folders",2023-04-25,27.99,22.1587491479029,18.99,29.99,265,15,155,67.3812372185442,0.003600524461946
"26","File Folders SKU 47","File Folders",2023-04-26,27.89,21.2825563944579,18.99,29.99,194,11,113,40.108120339037,0.00410866803793264
"27","File Folders SKU 47","File Folders",2023-04-27,27.99,21.7206527711804,18.99,29.99,230,13,134,52.3684860253455,0.00388019364838171
